pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
332,2,5,2,Y,400,100,1,2,22,5,3,1,1,1
333,2,5,3,Y,400,900,2,1,23,6,2,0,1,1
334,2,5,2,Y,400,100,1,2,21,6,1,0,0,1
335,2,5,2,Y,400,900,2,1,22,NA,3,1,1,1
336,2,5,3,Y,300,400,2,1,26,5,2,0,1,1
337,2,5,2,G,200,100,1,2,22,6,1,0,0,1
338,2,6,2,G,400,900,2,2,24,6,3,1,1,1
339,2,6,3,Y,400,400,1,2,22,6,0,0,0,0
340,2,6,3,Y,300,600,2,1,23,6,2,1,0,1
341,2,6,2,Y,200,900,1,2,22,4,0,0,0,0
342,2,6,2,G,400,900,1,1,24,6,3,1,1,1
343,2,6,1,Y,300,800,1,2,22,6,1,0,1,0
344,2,6,2,Y,100,900,1,1,22,6,3,1,1,1
345,2,6,1,Y,400,900,2,1,24,7,2,1,0,1
346,2,6,1,Y,300,200,1,1,19,5,1,1,0,0
347,2,6,3,Y,400,400,2,1,25,3,2,0,1,1
348,2,6,2,G,800,100,2,1,30,6,3,1,1,1
349,2,6,2,G,400,900,2,2,23,5,3,1,1,1
350,2,6,1,Y,0,100,2,1,26,6,2,0,1,1
351,2,6,2,G,400,900,1,2,24,2,3,1,1,1
352,2,6,3,Y,400,600,2,1,27,2,3,1,1,1
353,2,6,1,Y,400,600,1,1,23,6,1,0,0,1
354,2,6,2,G,0,900,2,1,25,6,2,1,0,1
355,2,6,3,Y,200,100,2,1,26,6,1,0,0,1
356,2,6,3,Y,400,900,2,1,24,2,3,1,1,1
357,2,6,1,Y,0,400,2,1,30,3,1,0,1,0
358,2,6,3,Y,0,700,1,1,23,6,3,1,1,1
359,2,6,1,Y,0,400,1,1,20,6,3,1,1,1
360,2,6,3,Y,0,300,2,2,24,5,3,1,1,1
361,2,6,2,G,0,350,2,1,25,6,2,0,1,1
362,2,6,1,Y,230,600,1,1,22,6,2,1,0,1
363,2,6,1,Y,100,600,1,1,20,5,2,1,0,1
364,2,6,1,Y,300,900,2,2,37.25,NA,1,0,1,0
365,2,6,2,Y,100,900,1,1,20,2,2,0,1,1
366,2,6,2,G,0,100,2,1,24,6,0,0,0,0
367,2,6,1,Y,400,600,1,1,21,6,3,1,1,1
368,2,6,2,Y,400,100,2,2,23,5,1,0,0,1
369,2,6,3,Y,0,500,1,1,21,2,1,0,0,1
371,2,6,3,Y,400,500,1,1,23,6,2,0,1,1
372,2,6,3,Y,400,500,2,2,26,5,3,1,1,1
373,2,6,1,Y,400,900,1,1,23,6,3,1,1,1
374,2,6,1,Y,0,400,2,1,24,6,2,1,1,0
375,2,6,2,G,400,900,2,2,24,2,1,0,1,0
376,2,6,2,G,400,500,2,1,28,6,2,0,1,1
377,2,6,2,G,0,700,1,1,24,5,1,0,0,1
378,2,6,1,Y,0,100,1,2,22,2,1,1,0,0
379,2,6,1,Y,0,900,2,1,25,6,1,1,0,0
380,2,6,3,Y,400,500,1,2,23,6,1,0,0,1
381,2,6,3,Y,0,500,1,1,22,6,2,0,1,1
383,2,6,2,Y,350,300,2,1,26,6,1,0,0,1
384,2,6,2,G,400,900,2,2,23,2,3,1,1,1
385,2,6,1,Y,350,900,2,1,25,2,2,0,1,1
386,2,6,1,Y,300,900,1,1,23,5,3,1,1,1
387,2,6,2,Y,0,500,1,1,21,6,3,1,1,1
388,2,6,1,Y,400,900,2,1,24,6,3,1,1,1
389,2,6,3,Y,400,500,1,1,20,2,3,1,1,1
390,2,6,3,Y,200,900,2,2,22,6,2,0,1,1
391,2,6,2,Y,0,650,1,1,21,6,3,1,1,1
392,2,6,3,Y,400,100,2,1,26,5,3,1,1,1
393,2,6,3,Y,250,100,1,2,19,6,0,0,0,0
394,2,6,3,Y,800,100,1,1,21,6,3,1,1,1
395,2,6,2,Y,250,900,2,1,24,2,3,1,1,1
396,2,6,1,Y,50,400,2,2,24,2,0,0,0,0
397,2,6,1,Y,300,900,2,1,28,6,2,0,1,1
398,2,6,3,Y,300,900,1,1,21,6,0,0,0,0
399,2,6,3,Y,300,100,1,1,18,2,1,1,0,0
400,2,9,3,Y,400,600,1,1,21,2,3,1,1,1
